Area served,Airport name,Airport URL,IATA,ICAO,Airport type,Operational,Owned/operated by,lat,lon,infobox_owner,infobox_operator,infobox_location,stats_passengers,stats_aircraft_movements,stats_cargo_tonnage,error
Itanagar,Donyi Polo Airport,https://en.wikipedia.org/wiki/Hollongi_Airport,HGI,VEHO,Domestic,Yes,AAI,26.97,93.66472,Airports Authority of India,,"Hollongi, Papum Pare district , Arunachal Pradesh , India","170,296","1,654",,
Pasighat,Pasighat Airport,https://en.wikipedia.org/wiki/Pasighat_Airport,IXT,VEPG,State/Private,Yes,Government of Arunachal Pradesh,28.068472,95.334528,,Airports Authority of India,"Pasighat, Arunachal Pradesh , India","8,211",412,,
Tezu,Tezu Airport,https://en.wikipedia.org/wiki/Tezu_Airport,TEI,VETJ,Domestic,Yes,AAI,27.9422,96.1339,,Airports Authority of India,"Tezu , Arunachal Pradesh , India","9,239",463,,
Ziro,Ziro Airport,https://en.wikipedia.org/wiki/Ziro_Airport,ZER,VEZO,State/Private,Yes,AAI,27.58833,93.82806,,Airports Authority of India,"Ziro, Arunachal Pradesh , India",299,122,,
Dhubri,Rupsi Airport,https://en.wikipedia.org/wiki/Rupsi_Airport,RUP,VERU,Domestic,Yes,AAI,26.14111,89.90667,Government of India,Airports Authority of India,"Rupsi, Kokrajhar district , Assam , India","7,122",164,,
Dibrugarh,Dibrugarh Airport,https://en.wikipedia.org/wiki/Dibrugarh_Airport,DIB,VEMN,Domestic,Yes,AAI,27.4836639,95.0168333,,Airports Authority of India,"Mohanbari, Dibrugarh, Assam , India","822,437","6,980",955,
Guwahati,Lokpriya Gopinath Bordoloi International Airport,https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,GAU,VEGT,International,Yes,Adani Group,26.10611,91.58583,Airports Authority of India,Guwahati International Airport Limited,"Borjhar , Guwahati, Assam , India","6,160,157","45,984","26,606",
Jorhat,Jorhat Airport,https://en.wikipedia.org/wiki/Jorhat_Airport,JRH,VEJT,Domestic (CE),Yes,MoDandAAI,26.73167,94.17556,,,"Rowriah, Jorhat, Assam , India",,,,
North Lakhimpur,Lilabari Airport,https://en.wikipedia.org/wiki/Lilabari_Airport,IXI,VELR,Domestic,Yes,AAI,27.29556,94.09778,,Airports Authority of India,"Lilabari, North Lakhimpur, Assam , India","30,108",719,,
Silchar,Silchar Airport,https://en.wikipedia.org/wiki/Silchar_Airport,IXS,VEKU,Domestic (CE),Yes,MoDandAAI,24.91306,92.97861,Indian Air Force,"Indian Air Force, Airports Authority of India","Kumbhirgram, Silchar, Assam , India","483,464","3,854",651,
Tezpur,Tezpur Airport,https://en.wikipedia.org/wiki/Tezpur_Airport,TEZ,VETZ,Domestic (CE),Yes,MoDandAAI,26.71222,92.78722,Airports Authority of India,Indian Air Force,"Salonibari, Tezpur, Assam , India","27,944",639,16,
Darbhanga,Darbhanga Airport,https://en.wikipedia.org/wiki/Darbhanga_Airport,DBR,VEDH,Domestic (CE),Yes,MoDandAAI,26.19472,85.9175,Indian Air Force,Airports Authority of India,"Darbhanga, Bihar , India","523,173","3,669",416,
Gaya,Gaya Airport,https://en.wikipedia.org/wiki/Gaya_Airport,GAY,VEGY,Customs,Yes,AAI,24.74444,84.95111,,Airports Authority of India,"Gaya, Bihar , India","329,304","2,538",,
Purnia,Purnia Airport,https://en.wikipedia.org/wiki/Purnia_Airport,PXN,VEPU,Domestic (CE),Yes,MoDandAAI,25.75972,87.41,Indian Air Force,Airports Authority of India,"Purnia, Bihar , India",,,,
Muzaffarpur,Muzaffarpur Airport,https://en.wikipedia.org/wiki/Muzaffarpur_Airport,MZU,VEMZ,Domestic,No,Government of Bihar,26.0336395,85.1355189,Airports Authority of India,Airports Authority of India,"Patahi, Muzaffarpur , Bihar , India",,,,
Patna,Jay Prakash Narayan Airport,https://en.wikipedia.org/wiki/Jay_Prakash_Narayan_Airport,PAT,VEPT,Customs,Yes,AAI,25.59139,85.08917,Airports Authority of India,Airports Authority of India,"Patna, Bihar , India","3,819,477","25,992","9,135",
Raxaul,Raxaul Airport,https://en.wikipedia.org/wiki/Raxaul_Airport,,VERL,Domestic,No,Government of Bihar,26.99639,84.82056,,Airports Authority of India,"Raxaul , Bihar , India",,,,
Raipur,Swami Vivekananda Airport,https://en.wikipedia.org/wiki/Swami_Vivekananda_Airport,RPR,VERP,Domestic,Yes,AAI,21.18139,81.74056,Airports Authority of India,Airports Authority of India,"Mana, Raipur, Chhattisgarh , India","2,572,031","20,006","5,079",
Bilaspur,Bilasa Devi Kevat Airport,https://en.wikipedia.org/wiki/Bilasa_Devi_Kevat_Airport,PAB,VEBU,Domestic,Yes,Government of Chhattisgarh,21.98833,82.11111,,Government of Chhattisgarh,"Chakarbhata, Bilaspur, Chhattisgarh , India","31,083",830,,
Jagdalpur,Jagdalpur Airport,https://en.wikipedia.org/wiki/Jagdalpur_Airport,JGB,VEJR,State/Private,Yes,Government of Chhattisgarh,19.07444,82.03694,Government of Chhattisgarh,Government of Chhattisgarh,"Jagdalpur, Chhattisgarh , India","55,019","1,464",,
Ambikapur,Ambikapur Airport,https://en.wikipedia.org/wiki/Ambikapur_Airport,AHA,VEAP,Domestic,Yes,Government of Chhattisgarh,22.98725,83.196139,Government of Chhattisgarh,Airports Authority of India,"Darima, Ambikapur, Chhattisgarh , India",922,161,,
Raigarh,Raigarh Airport,https://en.wikipedia.org/wiki/Raigarh_Airport,,VERH,State/Private,No,JSPL,21.82389,83.36028,,AAI,"Kondatarai, Chhattisgarh , India",,,,
Korba,Korba Airport,https://en.wikipedia.org/wiki/Korba_Airport,,IN-0026,State/Private,Yes,Government of ChhattisgarhandBharat Aluminium Company,22.41306,82.71944,Government of Chhattisgarh,Bharat Aluminium Company Limited (BALCO),"Rumgara, Korba, Chhattisgarh , India",,,,
Dabolim,Dabolim Airport,https://en.wikipedia.org/wiki/Dabolim_Airport,GOI,VOGO,International (CE),Yes,MoDandAAI,15.38083,73.83139,Government of Goa Indian Navy,Airports Authority of India,"Dabolim , Panaji , Goa, India","7,260,779","44,966","5,460",
Mopa,Manohar International Airport,https://en.wikipedia.org/wiki/Manohar_International_Airport,GOX,VOGA,International,Yes,GMR Group,15.7322,73.868,,,"Mopa , Goa, India","4,643,852","31,500","3,389",
Ahmedabad,Sardar Vallabhbhai Patel International Airport,https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,AMD,VAAH,International,Yes,Adani Group,23.07722,72.63472,Airports Authority of India,Ahmedabad International Airport Limited,"Hansol, Ahmedabad, Gujarat , India","13,427,697","101,119","103,050",
Amreli,Amreli Airport,https://en.wikipedia.org/wiki/Amreli_Airport,,,Domestic,No,Government of Gujarat,21.62194,71.22694,,,"Amreli, India",,,,
Bhavnagar,Bhavnagar Airport,https://en.wikipedia.org/wiki/Bhavnagar_Airport,BHU,VABV,Domestic,Yes,AAI,21.75222,72.18528,,Airports Authority of India,"Shubhashnagar, Bhavnagar, Gujarat , India","74,503","1,995",,
Bhuj,Bhuj Airport,https://en.wikipedia.org/wiki/Bhuj_Airport,BHJ,VABJ,Domestic (CE),Yes,MoDandAAI,23.28778,69.67028,,Indian Air Force Airports Authority of India,"Bhuj, Kutch district , Gujarat , India","186,403","2,166",5,
Deesa,Deesa Airport,https://en.wikipedia.org/wiki/Deesa_Airport,,VADS,Domestic,No,AAI,24.2679361,72.2044333,,Airports Authority of India,"Deesa, India",,,,
Dholera,Dholera International Airport,https://en.wikipedia.org/wiki/Dholera_International_Airport,,,International,No,AAI,22.58944,72.46833,Airports Authority of India,Dholera International Airport Company Limited (DIACL),"Dholera , Ahmedabad district , Gujarat , India",,,,
Jamnagar,Jamnagar Airport,https://en.wikipedia.org/wiki/Jamnagar_Airport,JGA,VAJM,Domestic (CE),Yes,MoDandAAI,22.46556,70.0125,Indian Air Force,Airports Authority of India,"Jamnagar, Gujarat , India","169,099","3,206",226,
Junagadh,Keshod Airport,https://en.wikipedia.org/wiki/Keshod_Airport,IXK,VAKS,Domestic,Yes,AAI,21.31694,70.27028,,Airports Authority of India,"Keshod, Gujarat , India","19,322",532,,
Kandla,Kandla Airport,https://en.wikipedia.org/wiki/Kandla_Airport,IXY,VAKE,Domestic,Yes,AAI,23.11278,70.10028,,Airports Authority of India,"Anjar, Gandhidham, Gujarat , India","48,408",822,,
Mundra,Mundra Airport,https://en.wikipedia.org/wiki/Mundra_Airport,,VAMA,State/Private,Yes,Adani Group,22.83417,69.76444,,,"Mundra , Gujarat , India",,,,
Dwarka,Mithapur Airstrip,https://en.wikipedia.org/w/index.php?title=Mithapur_Airstrip&action=edit&redlink=1,,IN-0106,State/Private,Yes,Tata Chemicals,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Mithapur_Airstrip
Porbandar,Porbandar Airport,https://en.wikipedia.org/wiki/Porbandar_Airport,PBD,VAPR,Domestic,Yes,AAI,21.64861,69.65722,,Airports Authority of India,"Porbandar, Gujarat , India",694,133,,
Rajkot,Rajkot International Airport,https://en.wikipedia.org/wiki/Rajkot_International_Airport,HSR,VAHS,International,Yes,AAI,22.38806,71.02833,Airports Authority of India,,"Hirasar, Rajkot district , Gujarat , India","1,088,570","8,294",608,
Rajkot,Rajkot Airport,https://en.wikipedia.org/wiki/Rajkot_Airport,RAJ,VARK,Domestic,Yes,AAI,22.30917,70.77944,,Airports Authority of India,"Rajkot , Gujarat , India",,,,
Surat,Surat International Airport[8],https://en.wikipedia.org/wiki/Surat_Airport,STV,VASU,International,Yes,AAI,21.1176583,72.7452583,,,"Magdalla, Surat, Gujarat , India","1,724,821","16,631","6,885",
Vadodara,Vadodara Airport,https://en.wikipedia.org/wiki/Vadodara_Airport,BDQ,VABO,Customs,Yes,AAI,22.32944,73.21944,,,"Harni, Vadodara, Gujarat , India","1,264,148","8,615","1,832",
Ambala,Ambala Airport,https://en.wikipedia.org/wiki/Ambala_Air_Force_Station,,VIAM,Domestic (CE),No,MoDandAAI,,,,,,,,,no airport infobox
Bhiwani,Bhiwani Aerodrome,https://en.wikipedia.org/wiki/Bhiwani_Airport,,VIBW,State/Private,No,"Civil Aviation Department, Haryana",28.83389,76.17861,"Civil Aviation Department, Haryana",,"Bhiwani , Haryana",,,,
Hisar,Maharaja Agrasen International Airport,https://en.wikipedia.org/wiki/Hisar_Airport,HSS,VIHR,International,Yes,"Civil Aviation Department, HaryanaandHaryana Institute of Civil Aviation",29.17917,75.75528,"Civil Aviation Department, Haryana",Haryana Institute of Civil Aviation,"Hisar , Haryana , India",,,,
Karnal,Karnal Aerodrome,https://en.wikipedia.org/wiki/Karnal_Aerodrome,,VI40,State/Private,No,"Civil Aviation Department, HaryanaandHaryana Institute of Civil Aviation",29.71417,77.0375,"Civil Aviation Department, Haryana",Haryana Institute of Civil Aviation,"Karnal , Haryana",,,,
Narnaul,Narnaul Airport,https://en.wikipedia.org/wiki/Narnaul_Airport,,VINL,State/Private,No,"Civil Aviation Department, HaryanaandAAI",28.075,76.20111,"Civil Aviation Department, Haryana",Airport Authority of India,"Bachhod village, Narnaul",,,,
Pinjore,Pinjore Aerodrome,https://en.wikipedia.org/wiki/Pinjore_Aerodrome,,VI71,State/Private,No,"Civil Aviation Department, HaryanaandHaryana Institute of Civil Aviation",30.82111,76.89167,"Civil Aviation Department, Haryana",Haryana Institute of Civil Aviation,"Pinjore , Panchkula district",,,,
Kangra,Kangra Airport,https://en.wikipedia.org/wiki/Kangra_Airport,DHM,VIGG,Domestic,Yes,AAI,32.165,76.26333,,,"Kangra , Himachal Pradesh , India","209,834",,,
Kullu-Manali,Kullu–Manali Airport,https://en.wikipedia.org/wiki/Kullu%E2%80%93Manali_Airport,KUU,VIBR,Domestic,Yes,AAI,31.87667,77.15444,Government of India,Airports Authority of India,"Bhuntar , Kullu, Himachal Pradesh , India","29,649","1,142",,
Shimla,Shimla Airport,https://en.wikipedia.org/wiki/Shimla_Airport,SLV,VISM,Domestic,Yes,AAI,31.08167,77.06806,Government of India,Airports Authority of India,"Jubbarhatti, Shimla, Himachal Pradesh , India",,,,
Bokaro,Bokaro Airport,https://en.wikipedia.org/wiki/Bokaro_Airport,,VEBK,Domestic,No,Steel Authority of India,23.64333,86.14889,Steel Authority of India Limited,Airports Authority of India,"Bokaro , Jharkhand , India",,,,
Deoghar,Deoghar Airport,https://en.wikipedia.org/wiki/Deoghar_Airport,DGH,VEDO,Domestic,Yes,Deoghar Airport Ltd (JV betweenAAI&Govt of Jharkhand),24.44472,86.7025,Deoghar Airport Limited Airports Authority of India (51%) Government of Jharkhand (49%),Airports Authority of India,"Deoghar, Jharkhand , India","281,442","2,999",,
Dhanbad,Dhanbad Airport,https://en.wikipedia.org/wiki/Dhanbad_Airport,DBD,VEDB,Domestic,No,AAI,23.83389,86.42528,Airports Authority of India,,"Barwaada , Jharkhand",,,,
Dumka,Dumka Airport,https://en.wikipedia.org/wiki/Dumka_Airport,,VEDK,State/Private,No,Government of Jharkhand,24.23175,87.267833,Government of Jharkhand,Airports Authority of India,Dumka,,,,
Jamshedpur,Chakulia Airport,https://en.wikipedia.org/wiki/Chakulia_Airport,,VECK,Domestic,No,AAI,22.4668028,86.7107,Airports Authority of India (AAI),,"Chakulia, Jharkhand",,,,
Jamshedpur,Sonari Airport,https://en.wikipedia.org/wiki/Sonari_Airport,IXW,VEJS,Domestic,Yes,Tata Steel,22.81361,86.16806,Tata Steel,Airports Authority of India,"Sonari, Jamshedpur, Jharkhand , India","9,939","2,153",,
Jamshedpur,Dhalbhumgarh Airport,https://en.wikipedia.org/wiki/Dhalbhumgarh_Airport,,,Domestic,No,Dhalbhumgarh Airport Ltd (JV betweenAAI&Govt of Jharkhand),22.52361,86.56222,Dhalbhumgarh Airport Limited (DAL) Airports Authority of India (51%) Government of Jharkhand (49%),Airports Authority of India,"Dhalbhumgarh , East Singhbhum district , Jharkhand",,,,
Ranchi,Birsa Munda Airport,https://en.wikipedia.org/wiki/Birsa_Munda_Airport,IXR,VERC,Domestic,Yes,AAI,23.31417,85.32167,,Airports Authority of India,"Hinoo, Ranchi, Jharkhand , India","2,569,371","19,314","6,662",
Belagavi,Belagavi Airport,https://en.wikipedia.org/wiki/Belgaum_Airport,IXG,VOBM,Domestic,Yes,AAI,15.85917,74.6175,,Airports Authority of India,"Sambra , Belgaum, Karnataka , India","429,755","6,789",30,
Ballari,Jindal Vijaynagar Airport,https://en.wikipedia.org/wiki/Jindal_Vijaynagar_Airport,VDY,VOJV,State/Private,Yes,JSPL,15.175,76.6341,,,"Toranagallu , Karnataka , India","43,140","1,228",,
Bengaluru,HAL Airport,https://en.wikipedia.org/wiki/HAL_Airport,,VOBG,State/Private,No,HAL,12.95,77.66833,,,"Bengaluru , Karnataka , India",,,,
Bengaluru,Jakkur Aerodrome,https://en.wikipedia.org/wiki/Jakkur_Aerodrome,,VOJK,State/Private,No,Government of Karnataka,13.07694,77.5975,Government of Karnataka,,"Jakkur , Bangalore , Karnataka , India",,,,
Bengaluru,Kempegowda International Airport,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,BLR,VOBL,International,Yes,BIAL,13.19889,77.70556,,,"Devanahalli , Bengaluru Rural district , Karnataka , India","41,875,620","264,553","502,509",
Bidar,Bidar Airport,https://en.wikipedia.org/wiki/Bidar_Airport,IXX,VOBR,Domestic (CE),Yes,MoD&GMR Group,17.9,77.47,,,"Chidri, Bidar, Karnataka , India","16,507",470,,
Hubli,Hubli Airport,https://en.wikipedia.org/wiki/Hubli_Airport,HBX,VOHB,Domestic,Yes,AAI,15.36167,75.08472,,Airports Authority of India,"Gandhi Nagar, Hubballi, Karnataka , India","346,405","4,334",284,
Kalaburagi,Kalaburagi Airport,https://en.wikipedia.org/wiki/Kalaburagi_Airport,GBI,VOGB,Domestic,Yes,AAI,17.30778,76.95806,Airports Authority of India,Airports Authority of India,"Srinivas Saradagi, Kalaburagi district , Karnataka , India","30,924",851,,
Koppal,Baldota Airport,https://en.wikipedia.org/w/index.php?title=Baldota_Airport&action=edit&redlink=1,OYR,VOKP,State/Private,Yes,MSPL,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Baldota_Airport
Mangaluru,Mangaluru International Airport,https://en.wikipedia.org/wiki/Mangaluru_International_Airport,IXE,VOML,International,Yes,AAI&Adani Group,12.96139,74.89,Airports Authority of India,Mangaluru International Airport Limited,"Bajpe , Mangaluru, Karnataka , India","23,43,032","16,763","2,213",
Mysuru,Mysuru Airport,https://en.wikipedia.org/wiki/Mysore_Airport,MYQ,VOMY,Domestic,Yes,AAI,12.2325,76.65639,,,"Mandakalli, Mysuru , Karnataka , India","94,891","1,663",,
Shivamogga,Rashtrakavi Kuvempu Airport,https://en.wikipedia.org/wiki/Shivamogga_Airport,RQY,VOSH,Domestic,Yes,Government of Karnataka,13.85472,75.61056,Government of Karnataka,KSIIDC,"Sogane, Shimoga, Karnataka , India","39,040",984,,
Kannur,Kannur International Airport,https://en.wikipedia.org/wiki/Kannur_International_Airport,CNN,VOKN,International,Yes,KIAL,11.92,75.55,,,"Mattanur , Kannur district , Kerala , India","1,344,021","11,555","4,151",
Kasaragod,Bekal Airport,https://en.wikipedia.org/wiki/Bekal_Airport,,,Domestic,No,AAI,12.42502583,75.04735333,Airports Authority of India,Airports Authority of India,"Bekal , Kerala , India",,,,
Kochi/Thrissur,Cochin International Airport,https://en.wikipedia.org/wiki/Cochin_International_Airport,COK,VOCI,International,Yes,CIAL,10.1533333,76.3881639,,,"Nedumbassery , Kochi, Kerala , India","11,140,778","72,091","61,999",
Kozhikode/Malappuram,Kozhikode International Airport,https://en.wikipedia.org/wiki/Kozhikode_International_Airport,CCJ,VOCL,International,Yes,AAI,11.13611,75.955,,,"Karipur , Kondotty , Malappuram district , Kerala , India","3,695,944","26,381","21,246",
Thiruvananthapuram/Kollam,Thiruvananthapuram International Airport,https://en.wikipedia.org/wiki/Thiruvananthapuram_International_Airport,TRV,VOTV,International,Yes,Adani Group,8.48,76.92,Airports Authority of India,TRV (Kerala) International Airport Limited,"Thiruvananthapuram , Kerala India","4,891,009","31,798","23,033",
Bhopal,Raja Bhoj Airport,https://en.wikipedia.org/wiki/Raja_Bhoj_Airport,BHO,VABP,Customs,Yes,AAI,23.2875,77.3375,Airports Authority of India,Airports Authority of India,"Gandhi Nagar, Bhopal, Madhya Pradesh , India","1,603,251","15,147","2,409",
Gwalior,Rajmata Vijaya Raje Scindia Airport,https://en.wikipedia.org/wiki/Rajmata_Vijaya_Raje_Scindia_Airport,GWL,VIGR,Domestic (CE),Yes,MoDandAAI,26.29333,78.22778,,,"Maharajpura, Gwalior, Madhya Pradesh, India","334,729","3,200",,
Datia,Datia Airport,https://en.wikipedia.org/wiki/Datia_Airport,DPP,,Domestic,Yes,AAI,25.649972,78.503167,,,"Datia, Madhya Pradesh",,,,
Indore,Devi Ahilyabai Holkar International Airport,https://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,IDR,VAID,International,Yes,AAI,22.72167,75.80083,Airports Authority of India,Airports Authority of India,"Bijasan, Indore, Madhya Pradesh , India","37,59,411","32,976","10,1429",
Jabalpur,Jabalpur Airport,https://en.wikipedia.org/wiki/Jabalpur_Airport,JLR,VAJB,Domestic,Yes,AAI,23.18472,80.05875,Airports Authority of India,Airports Authority of India,"Dumna, Jabalpur, Madhya Pradesh , India","392,869","5,000",,
Khajuraho,Khajuraho Airport,https://en.wikipedia.org/wiki/Khajuraho_Airport,HJR,VAKJ,Domestic,Yes,AAI,24.81722,79.91861,,Airports Authority of India,"Khajuraho, Madhya Pradesh , India","67,711","1,836",,
Rewa,Rewa Airport,https://en.wikipedia.org/wiki/Rewa_Airport,REW,VA1G,Domestic,Yes,AAI,24.50333,81.22028,Airports Authority of India,,"Chorhata, Rewa, Madhya Pradesh , India","1,877",648,,
Khandwa,Khandwa Airport,https://en.wikipedia.org/wiki/Khandwa_Airport,,VAKD,Domestic,No,AAI,21.85722,76.33583,,Airport Authority of India,"Khandwa , Madhya Pradesh , India",,,,
Sagar,Dhana Airport,https://en.wikipedia.org/wiki/Dhana_Airport,,CAA,Domestic,No,Government of Madhya Pradesh,23.754,78.8557,,Chimes Aviation Private Limited (on lease),"Dhana, Sagar , Madhya Pradesh , India",,,,
Nagda,Birlagram Airport,https://en.wikipedia.org/w/index.php?title=Birlagram_Airport&action=edit&redlink=1,,VA1C,State/Private,Yes,Grasim Industries,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Birlagram_Airport
Panna,Panna Airport,https://en.wikipedia.org/wiki/Panna_Airport,,,Domestic,No,AAI,24.718,80.1818,,Airports Authority of India,"Panna, India",,,,
Satna,Satna Airport,https://en.wikipedia.org/wiki/Satna_Airport,TNI,VEST,Domestic,Yes,AAI,24.55722,80.86333,,Airport Authority of India,"Satna , Madhya Pradesh",,,,
Akola,Akola Airport,https://en.wikipedia.org/wiki/Akola_Airport,AKD,VAAK,Domestic,No,AAI,20.69889,77.05861,Government of Maharashtra,Airports Authority of India,"Akola , Maharashtra , India",,,,
Amravati,Amravati Airport,https://en.wikipedia.org/wiki/Amravati_Airport,AVR,VAAM,Domestic,Yes,MADC,20.81333,77.71778,Government of Maharashtra,Maharashtra Airport Development Company,"Belora, Maharashtra , India",,,,
Aurangabad,Aurangabad Airport,https://en.wikipedia.org/wiki/Aurangabad_Airport,IXU,VAAU,Customs,Yes,AAI,19.86278,75.39806,,Airports Authority of India,"Chikalthana, Aurangabad, Maharashtra , India","700,402","6,748",914,
Baramati,Baramati Airport,https://en.wikipedia.org/wiki/Baramati_Airport,,IN-0024,State/Private,No,Government of Maharashtra,18.22861,74.58444,M.I.D.C.,M.I.D.C.,"Gojubavi , Baramati , Pune district , Maharashtra , India",,,,
Gondia,Gondia Airport,https://en.wikipedia.org/wiki/Gondia_Airport,GDB,VAGD,Domestic,Yes,AAI,21.522,80.288,,,"Zilmili, Gondia district , Maharashtra , India","32,116",824,,
Jalgaon,Jalgaon Airport,https://en.wikipedia.org/wiki/Jalgaon_Airport,JLG,VAJL,Domestic,Yes,AAI,20.96194,75.62667,Airports Authority of India,Airports Authority of India,"Kusumbe, Jalgaon, Maharashtra , India","92,470","2,162",,
Kolhapur,Chhatrapati Rajaram Maharaj Airport,https://en.wikipedia.org/wiki/Kolhapur_Airport,KLH,VAKP,Domestic,Yes,AAI,16.66472,74.28944,Airports Authority of India,Airports Authority of India,"Ujlaiwadi, Kolhapur, Maharashtra , India","158,966","3,433",,
Latur,Latur Airport,https://en.wikipedia.org/wiki/Latur_Airport,LTU,VOLT,State/Private,No,Government of Maharashtra,18.41167,76.46417,Maharashtra Industrial Development Corporation,Reliance Infrastructure,"Latur , Marathwada , Maharashtra , India",,,,
Mumbai,Chhatrapati Shivaji Maharaj International Airport,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_International_Airport,BOM,VABB,International,Yes,MIAL,19.08861,72.86806,Airports Authority of India,Mumbai International Airport Limited (MIAL) Adani Enterprises (74%) Airports Authority of India (26%),"Santacruz and Sahar , Maharashtra , India","55,122,422","330,063","889,900",
Mumbai,Dinkar Balu Patil International Airport,https://en.wikipedia.org/wiki/Navi_Mumbai_International_Airport,NMI,VANM,International,Yes,Adani Group,18.99194,73.06167,City and Industrial Development Corporation (CIDCO) (26%) Mumbai International Airport Limited (MIAL) (74%),Navi Mumbai International Airport Limited (NMIAL),"Ulwe , Navi Mumbai , Raigad district , Maharashtra , India",,,,
Mumbai,Juhu Aerodrome,https://en.wikipedia.org/wiki/Juhu_Aerodrome,,VAJJ,Domestic,No,AAI,,,Airports Authority of India,Airports Authority of India,"Juhu , Mumbai , Maharashtra , India",,,,
Nagpur,Dr. Babasaheb Ambedkar International Airport,https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,NAG,VANP,International,Yes,"GMR Group,MADC&AAI",21.09222,79.04722,Airports Authority of India,GMR Group & MIHAN India Private Limited (MIPL),"Sonegaon , Maharashtra, India","2,894,099","23,876","9,018",
Nanded,Shri Guru Gobind Singh Ji Airport,https://en.wikipedia.org/wiki/Shri_Guru_Gobind_Singh_Ji_Airport,NDC,VAND,State/Private,Yes,Government of Maharashtra,19.18194,77.31861,Maharashtra Industrial Development Corporation (MIDC),Nanded Airport Private Limited (NADL),"Nanded, Maharashtra , India",,191,,
Nashik,Nashik International Airport,https://en.wikipedia.org/wiki/Nashik_Airport,ISK,VAOZ,International,Yes,HAL,20.11944,73.91361,Hindustan Aeronautics Limited (HAL),HALCON ( HAL & CONCOR ),"Ozar , Nashik district , Maharashtra , India","242,372","3,234",464,
Osmanabad,Osmanabad Airport,https://en.wikipedia.org/wiki/Osmanabad_Airport,OMN,IN-0375,State/Private,No,Government of Maharashtra,18.27861,76.05333,Maharashtra Industrial Development Corporation,Osmanbad Airport Pvt. Ltd,"Osmanabad, Maharashtra",,,,
