Airport type,Description,Area served,Airport name,IATA,ICAO,Operational,Owned/operated by,Unnamed: 7
Domestic (CE),,Jamnagar,Jamnagar Airport,JGA,VAJM,Yes,MoD and AAI,
Domestic,,Junagadh,Keshod Airport,IXK,VAKS,Yes,AAI,
Domestic,,Kandla,Kandla Airport,IXY,VAKE,Yes,AAI,
State/Private,,Mundra,Mundra Airport,,VAMA,Yes,Adani Group,
State/Private,,Dwarka,Mithapur Airstrip,,IN-0106,Yes,Tata Chemicals,
Domestic,,Porbandar,Porbandar Airport,PBD,VAPR,Yes,AAI,
International,,Rajkot,Rajkot International Airport,HSR,VAHS,Yes,AAI,
Domestic,,Rajkot,Rajkot Airport,RAJ,VARK,Yes,AAI,
International,,Surat,Surat International Airport[8],STV,VASU,Yes,AAI,
Customs,,Vadodara,Vadodara Airport,BDQ,VABO,Yes,AAI,
Domestic (CE),,Ambala,Ambala Airport,,VIAM,No,MoD and AAI,
State/Private,,Bhiwani,Bhiwani Aerodrome,,VIBW,No,"Civil Aviation Department, Haryana",
International,,Hisar,Maharaja Agrasen International Airport,HSS,VIHR,Yes,"Civil Aviation Department, Haryana and Haryana Institute of Civil Aviation",
State/Private,,Karnal,Karnal Aerodrome,,VI40,No,"Civil Aviation Department, Haryana and Haryana Institute of Civil Aviation",
State/Private,,Narnaul,Narnaul Airport,,VINL,No,"Civil Aviation Department, Haryana and AAI",
State/Private,,Pinjore,Pinjore Aerodrome,,VI71,No,"Civil Aviation Department, Haryana and Haryana Institute of Civil Aviation",
Domestic,,Kangra,Kangra Airport,DHM,VIGG,Yes,AAI,
Domestic,,Kullu-Manali,Kullu–Manali Airport,KUU,VIBR,Yes,AAI,
Domestic,,Shimla,Shimla Airport,SLV,VISM,Yes,AAI,
Domestic,,Bokaro,Bokaro Airport,,VEBK,No,Steel Authority of India,
Domestic,,Deoghar,Deoghar Airport,DGH,VEDO,Yes,Deoghar Airport Ltd (JV between AAI & Govt of Jharkhand),
Domestic,,Dhanbad,Dhanbad Airport,DBD,VEDB,No,AAI,
State/Private,,Dumka,Dumka Airport,,VEDK,No,Government of Jharkhand,
Domestic,,Jamshedpur,Chakulia Airport,,VECK,No,AAI,
Domestic,,Jamshedpur,Sonari Airport,IXW,VEJS,Yes,Tata Steel,
Domestic,,Jamshedpur,Dhalbhumgarh Airport,,,No,Dhalbhumgarh Airport Ltd (JV between AAI & Govt of Jharkhand),
Domestic,,Ranchi,Birsa Munda Airport,IXR,VERC,Yes,AAI,
Domestic,,Belagavi,Belagavi Airport,IXG,VOBM,Yes,AAI,
State/Private,,Ballari,Jindal Vijaynagar Airport,VDY,VOJV,Yes,JSPL,
State/Private,,Bengaluru,HAL Airport,,VOBG,No,HAL,
State/Private,,Bengaluru,Jakkur Aerodrome,,VOJK,No,Government of Karnataka,
International,,Bengaluru,Kempegowda International Airport,BLR,VOBL,Yes,BIAL,
Domestic (CE),,Bidar,Bidar Airport,IXX,VOBR,Yes,MoD & GMR Group,
Domestic,,Hubli,Hubli Airport,HBX,VOHB,Yes,AAI,
Domestic,,Kalaburagi,Kalaburagi Airport,GBI,VOGB,Yes,AAI,
State/Private,,Koppal,Baldota Airport,OYR,VOKP,Yes,MSPL,
International,,Mangaluru,Mangaluru International Airport,IXE,VOML,Yes,AAI & Adani Group,
Domestic,,Mysuru,Mysuru Airport,MYQ,VOMY,Yes,AAI,
Domestic,,Shivamogga,Rashtrakavi Kuvempu Airport,RQY,VOSH,Yes,Government of Karnataka,
International,,Kannur,Kannur International Airport,CNN,VOKN,Yes,KIAL,
Domestic,,Kasaragod,Bekal Airport,,,No,AAI,
International,,Kochi / Thrissur,Cochin International Airport,COK,VOCI,Yes,CIAL,
International,,Kozhikode / Malappuram,Kozhikode International Airport,CCJ,VOCL,Yes,AAI,
International,,Thiruvananthapuram / Kollam,Thiruvananthapuram International Airport,TRV,VOTV,Yes,Adani Group,
Customs,,Bhopal,Raja Bhoj Airport,BHO,VABP,Yes,AAI,
Domestic (CE),,Gwalior,Rajmata Vijaya Raje Scindia Airport,GWL,VIGR,Yes,MoD and AAI,
Domestic,,Datia,Datia Airport,DPP,,Yes,AAI,
International,,Indore,Devi Ahilyabai Holkar International Airport,IDR,VAID,Yes,AAI,
Domestic,,Jabalpur,Jabalpur Airport,JLR,VAJB,Yes,AAI,
Domestic,,Khajuraho,Khajuraho Airport,HJR,VAKJ,Yes,AAI,
Domestic,,Rewa,Rewa Airport,REW,VA1G,Yes,AAI,
Domestic,,Khandwa,Khandwa Airport,,VAKD,No,AAI,
Domestic,,Sagar,Dhana Airport,,CAA,No,Government of Madhya Pradesh,
State/Private,,Nagda,Birlagram Airport,,VA1C,Yes,Grasim Industries,
Domestic,,Panna,Panna Airport,,,No,AAI,
Domestic,,Satna,Satna Airport,TNI,VEST,Yes,AAI,
Domestic,,Akola,Akola Airport,AKD,VAAK,No,AAI,
Domestic,,Amravati,Amravati Airport,AVR,VAAM,Yes,MADC,
Customs,,Aurangabad,Aurangabad Airport,IXU,VAAU,Yes,AAI,
State/Private,,Baramati,Baramati Airport,,IN-0024,No,Government of Maharashtra,
Domestic,,Gondia,Gondia Airport,GDB,VAGD,Yes,AAI,
Domestic,,Jalgaon,Jalgaon Airport,JLG,VAJL,Yes,AAI,
Domestic,,Kolhapur,Chhatrapati Rajaram Maharaj Airport,KLH,VAKP,Yes,AAI,
State/Private,,Latur,Latur Airport,LTU,VOLT,No,Government of Maharashtra,
International,,Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,VABB,Yes,MIAL,
International,,Mumbai,Dinkar Balu Patil International Airport,NMI,VANM,Yes,Adani Group,
Domestic,,Mumbai,Juhu Aerodrome,,VAJJ,No,AAI,
International,,Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,VANP,Yes,"GMR Group, MADC & AAI",
State/Private,,Nanded,Shri Guru Gobind Singh Ji Airport,NDC,VAND,Yes,Government of Maharashtra,
International,,Nashik,Nashik International Airport,ISK,VAOZ,Yes,HAL,
State/Private,,Osmanabad,Osmanabad Airport,OMN,IN-0375,No,Government of Maharashtra,
International (CE),,Pune,Pune Airport,PNQ,VAPO,Yes,MoD & AAI,
State/Private,,Ratnagiri,Ratnagiri Airport,RTC,VARG,No,CGAS Ratnagiri,
International,,Shirdi,Shirdi Airport,SAG,VASD,Yes,MADC,
Domestic,,Solapur,Solapur Airport,SSE,VASL,Yes,AAI,
State/Private,,Sindhudurg,Sindhudurg Airport,SDW,VOSR,Yes,Government of Maharashtra,
State/Private,,Yavatmal,Sant Gadge Baba Yavatmal Airport,YTL,VA78,No,Government of Maharashtra,
International,,Imphal,Bir Tikendrajit International Airport,IMF,VEIM,Yes,AAI,
Domestic,,Shillong,Shillong Airport,SHL,VEBI,Yes,AAI,
Domestic,,Shella,Shella Airport,,,No,AAI,
Domestic,,Aizawl,Turial Airport,,VEAZ,No,AAI,
State/Private,,Aizawl,Lengpui Airport,AJL,VELP,Yes,Government of Mizoram,
Domestic,,Dimapur,Dimapur Airport,DMU,VEMR,Yes,AAI,
State/Private,,Angul,Savitri Jindal Airport,,VEAL,Yes,JSPL,
State/Private,,Balangir,Tusura Airstrip,,VETS,No,Government of Odisha,
State/Private,,Barbil,Barbil Tonto Airstrip,,VEBL,No,Government of Odisha and JSPL,
Domestic,,Berhampur,Berhampur Airport,QBM,VEBM,Yes,Government of Odisha,
International,,Bhubaneswar,Biju Patnaik International Airport,BBI,VEBS,Yes,AAI,
Domestic,,Dhamra,Dhamra Airport,,,No,Dhamra Port,
State/Private,,Dhenkanal,Birasal Airstrip,,,Yes,Government of Odisha,
Domestic,,Jeypore,Jeypore Airport,PYB,VEJP,Yes,AAI,
Domestic,,Jharsuguda,Veer Surendra Sai Airport,JRG,VEJH,Yes,AAI,
State/Private,,Lanjigarh,Lanjigarh Airstrip,,,Yes,Vedanta Resources,
State/Private,,Phulbani,Gudari Airstrip,,VEPN,No,Government of Odisha,
International,,Puri,Puri International Airport,,,No,AAI,
Domestic,,Rairangpur,Dandbose Airport,,,No,Government of Odisha,
Domestic,,Rourkela,Rourkela Airport,RRK,VERK,Yes,AAI and SAIL,
Domestic,,Utkela,Utkela Airport,UKE,VEUK,Yes,Government of Odisha,
State/Private,,Amritsar,Beas Airport,,VIBS,Yes,Beas Spectruin Aero,
International,,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,VIAR,Yes,AAI,
Domestic (CE),,Bathinda,Bathinda Airport,BUP,VIBT,Yes,MoD and AAI,
Domestic (CE),,Jalandhar,Adampur Airport,AIP,VIAX,Yes,MoD and AAI,
Domestic,,Ludhiana,Ludhiana Airport,LUH,VILD,Yes,Government of Punjab and AAI,
International (CE),,Ludhiana,Shaheed Kartar Singh Sarabha International Airport,HWR,VIHX,No,MoD and AAI,
International (CE),,Mohali,Shaheed Bhagat Singh International Airport,IXC,VICG,Yes,CHIAL,
Domestic (CE),,Pathankot,Pathankot Airport,IXP,VIPK,No,MoD and AAI,
Domestic,,Ajmer,Kishangarh Airport,KQH,VIKG,Yes,AAI,
State/Private,,Banasthali,Banasthali Airstrip,,,No,Banasthali Vidyapith,
Domestic (CE),,Bikaner,Bikaner Airport,BKB,VIBK,Yes,MoD and AAI,
International,,Jaipur,Jaipur International Airport,JAI,VIJP,Yes,Adani Group,
Domestic (CE),,Jaisalmer,Jaisalmer Airport,JSA,VIJR,Yes,MoD and AAI,
Domestic (CE),,Jodhpur,Jodhpur Airport,JDH,VIJO,Yes,MoD and AAI,
State/Private,,Kankroli,Kankroli Airstrip,,,No,Government of Rajasthan,
Domestic,,Kota,Kota Airport,KTU,VIKO,No,AAI,
Domestic,,Udaipur,Maharana Pratap Airport,UDR,VAUD,Yes,AAI,
Domestic,,Gangtok,Pakyong Airport,PYG,VEPY,Yes,AAI,
International,,Chennai,Chennai International Airport,MAA,VOMM,Yes,AAI,
International,,Chennai,Chennai Parandur Airport,,,No,TIDCO,
International,,Coimbatore,Coimbatore International Airport,CJB,VOCB,Yes,AAI,
State/Private,,Hosur,Hosur Aerodrome,,VO95,No,TAAL,
Custom,,Madurai,Madurai Airport,IXM,VOMD,Yes,AAI,
State/Private,,Neyveli,Neyveli Airport,NVY,VONY,No,Neyveli Lignite Corporation,
Domestic,,Salem,Salem Airport,SXV,VOSM,Yes,AAI,
Domestic (CE),,Thanjavur,Thanjavur Airport,TJV,VOTJ,No,MoD and AAI,
Domestic,,Thoothukkudi,Tuticorin Airport,TCR,VOTK,Yes,AAI,
International,,Tiruchirappalli,Tiruchirappalli International Airport,TRZ,VOTR,Yes,AAI,
Domestic,,Vellore,Vellore Airport,,VOVR,No,AAI,
Domestic,,Hyderabad,Begumpet Airport,BPM,VOHY,Yes,Government of Telangana,
International,,Hyderabad,Rajiv Gandhi International Airport,HYD,VOHS,Yes,GMR Hyderabad International Airport Limited,
Domestic,,Warangal,Warangal Airport,WGC,VOWA,No,AAI,
Customs,,Agartala,Maharaja Bir Bikram Airport,IXA,VEAT,Yes,AAI,
Domestic,,Kailashahar,Kailashahar Airport,IXH,VEKR,No,AAI,
Domestic,,Kamalpur,Kamalpur Airport,IXQ,VEKN,No,AAI,
Domestic,,Khowai,Khowai Airport,IXN,VEKW,No,AAI,
Domestic (CE),,Agra,Agra Airport,AGR,VIAG,Yes,MoD and AAI,
Domestic,,Amethi,Fursatganj Airfield,,VERB,No,AAI[9],
Domestic,,Aligarh,Aligarh Airport,HRH,VIAH,Yes,Government of Uttar Pradesh and AAI[10],
International,,Ayodhya,Maharishi Valmiki International Airport[11],AYJ,VEAY,Yes,AAI,
Domestic,,Azamgarh,Azamgarh Airport,,VEAH,Yes,Government of Uttar Pradesh and AAI[10],
Domestic (CE),,Bareilly,Bareilly Airport,BEK,VIBY,Yes,MoD and AAI,
Domestic,,Chitrakoot,Chitrakoot Airport,,VECT,Yes,Government of Uttar Pradesh and AAI[10],
Domestic (CE),,Ghaziabad,Hindon Airport,HDO,VIDX,Yes,MoD and AAI,
Domestic (CE),,Gorakhpur,Gorakhpur Airport,GOP,VEGK,Yes,MoD and AAI,
Domestic (CE),,Kanpur,Kanpur Airport,KNU,VIKA,Yes,MoD and AAI,
International,,Kushinagar,Kushinagar International Airport,KBK,VEKI,Yes,AAI,
International,,Lucknow,Chaudhary Charan Singh International Airport,LKO,VILK,Yes,Adani Group,
State/Private,,Meerut,Dr. Bhimrao Ambedkar Airstrip,,VI2B,No,AAI,
Domestic,,Moradabad,Moradabad Airport,,,Yes,AAI,
International,,Noida,Noida International Airport,DXN,VIND,No,YIAPL,
Domestic (CE),,Prayagraj,Prayagraj Airport,IXD,VEAB,Yes,MoD and AAI,
State/Private,,Renukoot,Muirpur Airport,,VU1D,No,Government of Uttar Pradesh and AAI[10],
Domestic (CE),,Saharanpur,Sarsawa Airport,SWN,VISP,Yes,MoD and AAI,
Domestic,,Shravasti,Shravasti Airport,,VISV,Yes,Government of Uttar Pradesh and AAI[10],
International,,Varanasi,Lal Bahadur Shastri International Airport,VNS,VEBN,Yes,AAI,
Domestic,,Dehradun,Jolly Grant Airport,DED,VIDN,Yes,AAI,
Domestic,,Pantnagar,Pantnagar Airport,PGH,VIPT,Yes,AAI,
Domestic,,Pithoragarh,Naini-Saini Airport,NNS,VIDF,Yes,Government of Uttarakhand,
State/Private,,Asansol,Burnpur Airport,,VEBB,Yes,Steel Authority of India,
Domestic,,Balurghat,Balurghat Airport,RGH,VEBG,No,AAI,
Domestic,,Cooch Behar,Cooch Behar Airport,COH,VECO,Yes,AAI,
Domestic,,Durgapur,Kazi Nazrul Islam Airport,RDP,VEDG,Yes,Government of West Bengal & AAI,
Domestic,,Kolkata,Behala Airport,,VEBA,Yes,AAI,
International,,Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,VECC,Yes,AAI,
Domestic,,Malda,Malda Airport,LDA,VEMH,No,AAI,
Customs,,Siliguri,Bagdogra International Airport,IXB,VEBD,Yes,MoD & AAI,
International (CE),,Port Blair,Veer Savarkar International Airport,IXZ,VOPB,Yes,MoD and AAI,
Domestic (CE),,Great Nicobar,Chingan Airfield,,,No,AAI; proposed,
Customs,,Chandigarh,Shaheed Bhagat Singh International Airport,IXC,VICG,Yes,CHIAL,
Domestic,,Diu,Diu Airport,DIU,VADU,Yes,AAI,
Domestic,,Daman,Daman Airport,NMB,VADN,No,Indian Coast Guard,
International,,Delhi NCR,"Indira Gandhi International Airport, New Delhi",DEL,VIDP,Yes,DIAL,
State / Private,,Delhi NCR,"Safdarjung Airport, New Delhi",,VIDD,Yes,AAI,
Domestic (CE),,Delhi NCR,"Hindon Airport, Ghaziabad",HDO,VIDX,Yes,MoD and AAI,
International,,Delhi NCR,"Jewar International Airport, Noida",DXN,VIND,No,YIAPL,
Domestic (CE),,Jammu,Jammu Airport,IXJ,VIJU,Yes,MoD and AAI,
Domestic (CE),,Srinagar,Srinagar Airport,SXR,VISR,Yes,MoD and AAI,
Domestic (CE),,Leh,Kushok Bakula Rimpochee Airport,IXL,VILH,Yes,MoD and AAI,
Domestic,,Agatti Island,Agatti Airport,AGX,VOAT,Yes,AAI,
Domestic,,Puducherry,Pondicherry Airport,PNY,VOPC,Yes,AAI,
